timestamp, xKp, xKr, xTh1, xTh2, xTh3, xTh4, yKp, yKr, yTh1, yTh2, yTh3, yTh4, thKp, thKr, thTh1, thTh2, thTh3, thTh4
2022-02-17 14:14:47.348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2022-02-17 14:14:47.491, 54.87, 54.14, 113.71, 0.06, 0.33, -0.34, 108.17, 111.29, 111.16, 0.74, 0.65, 0.35, 680.43, 719.87, 301.45, 9.10, 6.51, -21.13
2022-02-17 14:14:50.479, 54.87, 54.14, 113.71, 0.06, 0.33, -0.34, 108.17, 111.29, 111.16, 0.74, 0.65, 0.35, 680.43, 719.87, 301.45, 9.10, 6.51, -21.13
2022-02-17 14:14:50.583, 54.87, 54.14, 113.71, 0.06, 0.33, -0.34, 108.03, 111.52, 111.17, 0.76, 0.70, 0.37, 680.83, 719.87, 301.41, 9.01, 6.61, -21.22
2022-02-17 14:14:53.467, 54.87, 54.14, 113.71, 0.06, 0.33, -0.34, 108.03, 111.52, 111.17, 0.76, 0.70, 0.37, 680.83, 719.87, 301.41, 9.01, 6.61, -21.22
2022-02-17 14:14:56.475, 54.87, 54.14, 113.71, 0.06, 0.33, -0.34, 108.03, 111.52, 111.17, 0.76, 0.70, 0.37, 680.83, 719.87, 301.41, 9.01, 6.61, -21.22
2022-02-17 14:14:57.665, 54.87, 54.14, 113.71, 0.06, 0.33, -0.34, 108.17, 111.29, 111.16, 0.74, 0.65, 0.35, 680.43, 719.87, 301.45, 9.10, 6.51, -21.13
2022-02-17 14:14:59.457, 54.87, 54.14, 113.71, 0.06, 0.33, -0.34, 108.17, 111.29, 111.16, 0.74, 0.65, 0.35, 680.43, 719.87, 301.45, 9.10, 6.51, -21.13
2022-02-17 14:14:59.519, 54.87, 54.14, 113.71, 0.06, 0.33, -0.34, 108.01, 111.53, 111.18, 0.75, 0.68, 0.37, 680.58, 719.87, 301.43, 9.12, 6.49, -21.10
2022-02-17 14:15:02.472, 54.87, 54.14, 113.71, 0.06, 0.33, -0.34, 108.01, 111.53, 111.18, 0.75, 0.68, 0.37, 680.58, 719.87, 301.43, 9.12, 6.49, -21.10
2022-02-17 14:15:02.535, 54.88, 54.14, 113.71, 0.07, 0.33, -0.35, 107.63, 112.27, 111.21, 0.78, 0.74, 0.40, 681.93, 719.87, 301.30, 8.86, 6.75, -21.37
2022-02-17 14:15:05.469, 54.88, 54.14, 113.71, 0.07, 0.33, -0.35, 107.63, 112.27, 111.21, 0.78, 0.74, 0.40, 681.93, 719.87, 301.30, 8.86, 6.75, -21.37
2022-02-17 14:15:05.534, 54.89, 54.14, 113.71, 0.06, 0.33, -0.34, 107.40, 113.11, 111.24, 0.79, 0.80, 0.42, 682.09, 719.87, 301.28, 8.92, 6.70, -21.27
2022-02-17 14:15:08.459, 54.89, 54.14, 113.71, 0.06, 0.33, -0.34, 107.40, 113.11, 111.24, 0.79, 0.80, 0.42, 682.09, 719.87, 301.28, 8.92, 6.70, -21.27
2022-02-17 14:15:08.539, 54.91, 54.14, 113.71, 0.07, 0.33, -0.35, 106.81, 113.98, 111.30, 0.83, 0.85, 0.43, 683.18, 719.87, 301.17, 8.93, 6.68, -21.30
2022-02-17 14:15:11.470, 54.91, 54.14, 113.71, 0.07, 0.33, -0.35, 106.81, 113.98, 111.30, 0.83, 0.85, 0.43, 683.18, 719.87, 301.17, 8.93, 6.68, -21.30
2022-02-17 14:15:11.538, 54.97, 54.14, 113.70, 0.05, 0.33, -0.33, 106.52, 114.83, 111.32, 0.83, 0.89, 0.44, 684.10, 719.87, 301.08, 8.92, 6.50, -21.11
2022-02-17 14:15:14.471, 54.97, 54.14, 113.70, 0.05, 0.33, -0.33, 106.52, 114.83, 111.32, 0.83, 0.89, 0.44, 684.10, 719.87, 301.08, 8.92, 6.50, -21.11
2022-02-17 14:15:14.559, 54.98, 54.14, 113.70, 0.05, 0.33, -0.34, 104.84, 117.21, 111.49, 0.91, 1.02, 0.48, 685.81, 719.87, 300.91, 9.29, 6.06, -20.63
2022-02-17 14:15:17.457, 54.98, 54.14, 113.70, 0.05, 0.33, -0.34, 104.84, 117.21, 111.49, 0.91, 1.02, 0.48, 685.81, 719.87, 300.91, 9.29, 6.06, -20.63
2022-02-17 14:15:17.524, 54.99, 54.14, 113.70, 0.04, 0.33, -0.33, 103.67, 119.49, 111.61, 0.96, 1.10, 0.51, 686.21, 719.87, 300.87, 9.51, 5.84, -20.41
2022-02-17 14:15:21.313, 54.99, 54.14, 113.70, 0.04, 0.33, -0.33, 103.67, 119.49, 111.61, 0.96, 1.10, 0.51, 686.21, 719.87, 300.87, 9.51, 5.84, -20.41
2022-02-17 14:15:21.466, 54.99, 54.14, 113.70, 0.04, 0.33, -0.33, 103.67, 119.49, 111.61, 0.96, 1.10, 0.51, 686.21, 719.87, 300.87, 9.51, 5.84, -20.41
2022-02-17 14:15:24.403, 54.99, 54.14, 113.70, 0.04, 0.33, -0.33, 103.67, 119.49, 111.61, 0.96, 1.10, 0.51, 686.21, 719.87, 300.87, 9.51, 5.84, -20.41
2022-02-17 14:15:24.497, 55.00, 54.14, 113.70, 0.04, 0.32, -0.33, 103.57, 119.60, 111.62, 0.97, 1.12, 0.53, 686.46, 719.87, 300.85, 9.52, 5.88, -20.44
2022-02-17 14:15:27.434, 55.00, 54.14, 113.70, 0.04, 0.32, -0.33, 103.57, 119.60, 111.62, 0.97, 1.12, 0.53, 686.46, 719.87, 300.85, 9.52, 5.88, -20.44
