Line #,Comment,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","GRM1885C1H101JA01D","","C1","","Unknown server","","1","","","","","","",""
"","GRM1885C1H101JA01D","","C2","","Unknown server","","1","","","","","","",""
"","CAP 22uF 6.3V 1206(3216)","CAP 22uF 6.3V กำ20% 1206 (3216 Metric) Thickness 1.9mm SMD","C4","","Unknown server","","1","","","","","","",""
"","GRM188R60J106ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V","C5","","Unknown server","","1","","","","","","",""
"","C1206C104K1RACTU","CAP CER 0.1UF 100V X7R 1206","C6","","Unknown server","","1","","","","","","",""
"","GRM155R60J475ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4.7uF, X5R, 15%, 20%, 6.3V","C7","","Unknown server","","1","","","","","","",""
"","GRM155R60J475ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4.7uF, X5R, 15%, 20%, 6.3V","C8","","Unknown server","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C9","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C10","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C11","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C12","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C13","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C14","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C15","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C16","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C17","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C18","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C19","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C20","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C21","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C22","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C23","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C24","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C25","","Not managed","","1","","","","","","",""
"","0.1uF","Generic Capacitor","C26","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C27","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C28","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C29","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C30","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C31","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C32","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C33","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C34","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C35","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C36","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C37","","Not managed","","1","","","","","","",""
"","10nF","Generic Capacitor","C38","","Not managed","","1","","","","","","",""
